08-06-2020 21:58:43 INFO StatCollector.Uid 34654 - 12512 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 1108542 - 12436 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 22108 - 12367 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 644525 - 11919 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 118601 - 11102 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 513154 - 10727 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 453464 - 10010 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 585683 - 10002 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 624271 - 6617 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 522839 - 6418 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 546196 - 6052 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 2747740 - 6023 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 752798 - 5813 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 1089262 - 5512 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 383200 - 5322 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 430726 - 5285 marks  
08-06-2020 21:58:43 INFO StatCollector.Uid 357784 - 5229 marks  
